;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R;S;T;U
A ;0;5.1;2.4;3.0;2.6;8.1;2.7;5.7;7.3;2.5;32.6;76.4;33.7;19.6;52.7;53.9;50.3;13.4;33.2;89.1;55.7
B;5.1;0;4.7;3.9;3.3;6.2;7.1;9.3;9.5;7.4;37.7;79.8;33.5;19.5;57.4;57.6;47.9;16.7;31.8;93.5;54.9
C; 2.4;4.7 ;0;0.9;1.4;9.4;5.0;4.7;5.5;3.2;33.3;75.4;31.5;17.3;52.8;56.1;51.7;12.3;34.9;88.8;53.4
D; 3.0; 3.9; 0.9;0;0.8;9.1;5.6;5.4;5.8;4.2;34.2;76.0;31.3;17.1;53.6;56.8;51.3;12.9;34.7;89.6;53.1
E; 2.6; 3.3; 1.4; 0.8;0;8.3;5.2;6.0;6.6;4.3;34.6;76.7;32.1;17.9;54.1;56.5;50.5;13.6;33.9;90.2;53.9
F; 8.1; 6.2; 9.4; 9.1; 8.3;0;8.0;13.7;14.8;10.5;39.1;84.5;39.8;25.7;60.1;53.7;42.3;21.5;25.7;96.7;61.1
G; 2.7; 7.1; 5.0; 5.6; 5.2;8.0 ;0;7.2;9.3;3.4;31.3;77.0;36.0;21.9;52.1;51.2;49.4;14.5;31.9;88.7;58.1
H; 5.7; 9.3; 4.7; 5.4; 6.0; 13.7; 7.2;0;2.7;3.7;29.5;70.8;29.2;15.3;48.3;55.8;56.0;7.7;38.9;84.2;51.4
I;7.3; 9.5; 5.5; 5.8; 6.6;14.8; 9.3;2.7 ;0;5.9;31.2;70.3;26.7;12.7;49.2;58.5;57.1;7.3;40.3;84.7;48.9
J; 2.5; 7.4; 3.2; 4.2; 4.3;10.5; 3.4; 3.7;5.9 ;0;30.3;74.0;32.7;18.6;50.2;53.4;52.5;11.2;35.2;86.5;54.8
K; 32.6; 37.7; 33.3; 34.2; 34.6;39.1; 31.3; 29.5; 31.2;30.3 ;0;56.0;45.7;37.7;22.8;43.7;75.1;25.9;56.9;60.0;65.5
L; 76.4; 79.8; 75.4; 76.0; 76.7;84.5; 77.0; 70.8; 70.3; 74.0;56.0 ;0;58.5;65.0;37.0;97.3;126.2;63.2;108.3;30.4;60.1
M; 33.7; 33.5; 31.5; 31.3; 32.1;39.8; 36.0; 29.2; 26.7; 32.7; 45.7; 58.5;0;14.2;53.2;82.9;80.0;24.5;65.1;81.2;22.3
N; 19.6; 19.5; 17.3; 17.1; 17.9;25.7; 21.9; 15.3; 12.7; 18.6; 37.7; 65.0; 14.2;0;50.9;70.5;66.8;12.5;51.2;83.5;36.2
O; 52.7; 57.4; 52.8; 53.6; 54.1;60.1; 52.1; 48.3; 49.2; 50.2; 22.8; 37.0; 53.2;50.9 ;0;60.5;97.9;42.3;79.6;37.2;67.6
P; 53.9; 57.6; 56.1; 56.8; 56.5; 53.7; 51.2; 55.8; 58.5; 53.4; 43.7; 97.3; 82.9; 70.5; 60.5;0;63.2;58.5;50.2;92.1;104.9
Q; 50.3; 47.9; 51.7; 51.3; 50.5; 42.3; 49.4; 56.0; 57.1; 52.5; 75.1; 126.2; 80.0; 66.8; 97.9; 63.2;0;63.7;18.3;135.1;99.3
R; 13.4; 16.7; 12.3; 12.9; 13.6; 21.5; 14.5; 7.7; 7.3; 11.2; 25.9; 63.2; 24.5; 12.5; 42.3; 58.5;63.7 ;0;46.5;77.4;46.7
S; 33.2; 31.8; 34.9; 34.7; 33.9; 25.7; 31.9; 38.9; 40.3; 35.2; 56.9; 108.3; 65.1; 51.2; 79.6; 50.2; 18.3; 46.5;0;116.8;85.7
T; 89.1; 93.5; 88.8; 89.6; 90.2; 96.7; 88.7; 84.2; 84.7; 86.5; 60.0; 30.4; 81.2; 83.5; 37.2; 92.1; 135.1; 77.4;116.8;0;87.9
U; 55.7; 54.9; 53.4; 53.1; 53.9; 61.1; 58.1; 51.4; 48.9; 54.8; 65.5; 60.1; 22.3; 36.2; 67.6; 104.9; 99.3; 46.7;85.7;87.9 ;0
