;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R;S;T;U
A;0;13;9;12;10;18;6;18;22;9;60;154;65;40;70;106;77;28;57;124;105
B;13;0;12;10;11;15;22;24;24;21;76;161;66;41;89;112;76;34;56;173;106
C;9;12;0;7;7;22;14;12;16;9;65;149;61;37;80;110;82;23;61;165;95
D;12;10;7;0;5;20;15;14;16;11;67;151;60;35;82;112;80;25;60;164;95
E;10;11;7;5;0;18;14;18;21;15;72;155;65;40;86;112;80;30;59;168;102
F;18;15;22;20;18;0;14;32;35;23;77;165;80;54;82;101;64;40;45;176;116
G;6;22;14;15;14;14;0;20;24;11;60;155;68;42;71;81;56;30;55;168;106
H;18;24;12;14;18;32;20;0;9;10;60;142;57;30;76;109;89;16;69;155;91
I;22;24;16;16;21;35;24;9;0;18;63;143;57;29;60;116;98;18;76;117;91
J;9;21;9;11;15;23;11;10;18;0;62;149;63;38;66;102;85;23;64;161;100
K;60;76;65;67;72;77;60;60;63;62;0;111;89;75;44;59;114;50;109;124;127
L;154;161;149;151;155;165;155;142;143;149;111;0;134;162;73;170;231;132;210;58;157
M;65;66;61;60;65;80;68;57;57;63;89;134;0;29;106;162;149;62;129;182;37
N;40;41;37;35;40;54;42;30;29;38;75;162;29;0;88;137;120;34;98;166;62
O;70;89;80;82;86;82;71;76;60;66;44;73;106;88;0;100;162;63;141;75;142
P;106;112;110;112;112;101;81;109;116;102;59;170;162;137;100;0;116;120;115;172;197
Q;77;76;82;80;80;64;56;89;98;85;114;231;149;120;162;116;0;83;29;242;164
R;28;34;23;25;30;40;30;16;18;23;50;132;62;34;63;120;83;0;78;142;92
S;57;56;61;60;59;45;55;69;76;64;109;210;129;98;141;115;29;78;0;139;159
T;124;173;165;164;168;176;168;155;117;161;124;58;182;166;75;172;242;142;139;0;207
U;105;106;95;95;102;116;106;91;91;100;127;157;37;62;142;197;164;92;159;207;0
